itemid,property,num_value
443648,400,552.0
103853,202,5112.0
218587,810,18288.0
316584,810,540.0
142786,400,552.0
152198,566,612.0
336500,790,293400.0
459002,888,1992.0
208941,784,12.0
252529,196,1144008.0
65801,790,130560.0
452856,888,9636.0
423104,790,15600.0
42090,790,478800.0
47221,790,85680.0
362785,19,908104.0
95797,790,215988.0
387496,575,1327404.0
336714,880,324.0
374001,790,100200.0
86799,400,639502.0
11622,98,1169762.0
79920,888,26052.0
217490,790,56520.0
10982,790,81840.0
311968,720,10317.0
184250,810,1176.0
195841,964,1284577.0
84520,790,84480.0
453875,888,3816.0
312144,283,717971.0
84315,400,424566.0
186938,790,52440.0
345954,790,107880.0
411402,810,
4853,441,1740.0
443320,888,353397.0
322304,790,4560.0
299008,790,26520.0
127081,917,6120.0
416498,790,17400.0
365665,790,34920.0
270796,468,272976.0
64066,790,30720.0
156517,790,334560.0
255294,675,48.0
260964,411,1500.0
372199,1066,46.8
43497,976,19.2
264884,790,635880.0
332569,790,193320.0
112657,404,1085398.0
379580,400,424566.0
251220,199,686768.0
383091,790,839520.0
327831,790,28560.0
111593,283,386817.0
213199,283,610340.0
204987,917,1106136.0
114375,1097,15312.0
313866,400,720.0
320221,566,2784.0
212427,790,15468.0
399349,575,70875443803464.0
38828,790,28680.0
65899,575,24011928914256.0
398821,888,
445571,790,18960.0
378283,566,424566.0
178916,202,
287537,790,7692.0
403775,685,1371.6
81620,790,221880.0
307810,465,964443.0
133539,631,360.0
4841,790,1295880.0
142145,790,76272.0
135311,1009,337002.0
464731,790,53640.0
369924,810,424566.0
292984,790,9960.0
5281,314,1128577.0
180074,790,107880.0
230557,790,287880.0
2275,790,20400.0
83316,771,190776.0
33114,917,
33769,790,590400.0
113167,0,663923.0
400675,888,1154859.0
422466,784,686768.0
138188,790,103320.0
230302,202,244008.0
221400,790,744000.0
126983,945,639502.0
149023,456,525396.0
127822,790,41160.0
425023,790,12720.0
270095,1098,24.0
4244,790,9228.0
389001,19,309206.0
233639,790,75600.0
240702,720,10317.0
152764,790,262680.0
276737,917,1174938024.0
428049,790,79560.0
457502,805,24.0
143937,654,147634.0
425377,964,604633.0
311284,964,2760.0
307217,790,43080.0
87323,761,27.6
287287,790,166320.0
392492,619,1187104.0
81595,400,639502.0
217378,685,1440.0
136076,283,386817.0
212168,1056,1144008.0
338865,268,12.0
217136,400,639502.0
167594,663,207.6
432892,566,480.0
50141,685,14400.0
19769,888,
283589,790,13800.0
171082,790,16200.0
273639,878,
360996,758,96.0
442043,441,1464.0
256945,19,24.0
465190,400,639502.0
259799,790,791193.24
104500,188,10317.0
277821,917,24011800756296.0
227013,964,486467.0
440682,400,639502.0
282776,761,7.212
175699,790,9600.0
264226,900,708.0
27148,888,63.0
138186,790,11880.0
63663,766,600.0
203550,810,1144008.0
1827,719,132.0
404660,888,4320.0
350209,1054,144.0
79813,468,272976.0
433323,619,1072114.0
146273,401,96.0
127647,917,1332159.0
37854,400,96.0
98813,790,403800.0
412104,771,15.6
13318,888,1155145104.0
406413,400,552.0
364541,790,4320.0
112633,810,
154185,790,58080.0
220864,790,76440.0
247005,790,116760.0
161008,810,
140856,663,187.2
38765,638,12.0
312100,888,
320407,888,388150.0
223787,888,23496.0
39805,888,871215.0
60420,803,
129482,790,11160.0
143056,790,11160.0
388380,790,97800.0
162561,790,13080.0
155702,790,6000.0
41079,790,44520.0
210507,202,2287224.0
303011,619,1187104.0
340918,790,41160.0
307260,658,79200.0
98052,790,74280.0
50150,784,686768.0
133953,790,6360.0
316753,790,210000.0
46473,790,325080.0
428275,400,639502.0
255916,790,30492.0
352468,790,34080.0
130468,790,118800.0
77404,566,189174.0
13854,790,36936.0
344693,790,25188.0
344416,645,3840.0
373096,566,238.8
265766,102,1187104.0
193809,400,720.0
190960,796,1036892.0
14265,969,
229904,790,30960.0
258752,1066,424566.0
155279,790,115200.0
181167,663,139.2
117045,761,190776.0
303336,1054,120.0
127288,790,6480.0
155857,66,424566.0
301658,542,
310962,400,424566.0
273995,790,48840.0
223828,139,924073.0
465333,400,424566.0
387940,654,169.2
157775,810,180.0
101907,888,628176.0
343033,888,
41364,279,
130368,790,98280.0
138441,400,424566.0
462796,790,377520.0
261800,663,187.2
324305,790,189600.0
161314,945,
400825,719,593897.0
405053,888,470366.0
98980,790,270000.0
182965,884,628176.0
168911,1066,39.6
371265,790,39840.0
116851,790,136800.0
105172,810,1212.0
376926,790,47280.0
301457,575,107263452.0
124043,400,336.0
205582,790,29520.0
385566,976,1135780.0
352127,790,44640.0
356804,790,85800.0
422128,790,3000.0
323674,575,267792.0
24760,888,30.0
402295,888,720024.0
268739,675,12.0
413958,19,144.0
301183,177,1206660.0
73984,603,443786.0
440945,441,
387966,142,12.0
344469,566,424566.0
404633,790,398760.0
214289,790,38748.0
345626,400,732.0
301646,745,1144008.0
99822,619,1187104.0
402198,790,217440.0
10275,658,19200.0
95779,720,10317.0
232894,790,32916.0
41932,784,120.0
24524,400,
434739,607,12.0
337552,790,2040.0
147482,771,190776.0
446331,400,
140798,790,43320.0
316295,771,
400354,202,9252.0
346208,1075,12000.0
83181,917,1024800.0
88752,917,9774732.0
459597,790,34560.0
222871,888,
189255,663,139.2
234269,333,1135780.0
120889,790,737760.0
371689,888,1119999.0
9150,790,59640.0
69433,790,160560.0
286636,790,476160.0
416657,795,757932.0
20071,888,1800.0
268973,790,73800.0
225947,104,1200.0
383255,888,111696.0
438450,790,2880.0
154102,515,24.0
11975,888,468330.0
448055,13,94.8
137460,790,21060.0
32366,888,628176.0
347396,790,105360.0
452698,976,20.4
267818,761,66.0
235595,790,22440.0
385145,663,184.8
223855,790,7800.0
194892,790,42960.0
88953,611,1187104.0
50284,888,645817.0
283921,790,18360.0
338613,758,72.0
22369,790,10800.0
200041,542,18.0
324252,790,28440.0
284154,810,628176.0
70495,790,71520.0
288803,400,424566.0
140532,790,287880.0
280476,790,152040.0
464594,0,632686.0
362420,884,23040.0
336876,400,552.0
65871,400,424566.0
455471,790,614280.0
24558,441,408.0
308383,790,146400.0
317883,400,424566.0
377704,790,218832.0
372582,888,38592.0
162399,447,1157821.0
350449,790,53280.0
416711,400,
53326,888,
280431,411,1144008.0
424090,790,21120.0
192853,810,1824.0
437412,790,3240.0
10234,189,1108780.0
112055,790,0.0
198053,468,272976.0
147726,790,49440.0
334352,888,75360.0
45115,658,24000.0
47557,790,4800.0
218521,1054,639502.0
403191,199,12.0
375832,790,14280.0
432100,790,122640.0
378114,790,56880.0
97215,726,1187104.0
462536,400,552.0
368922,790,31128.0
199628,888,1278512.0
179233,888,199526.0
279905,102,396934.0
437978,726,192.0
432370,790,33600.0
238592,790,12108.0
107640,790,62520.0
218866,1075,1029109.0
407607,1075,1029109.0
213143,790,135720.0
34773,400,552.0
249746,645,768.0
411490,790,116400.0
386124,1068,10317.0
26937,790,2558.28
54634,790,20004.0
232392,790,33120.0
130725,790,65880.0
382702,790,358320.0
220987,66,424566.0
252570,888,784581.0
27669,488,122077.0
451019,314,
344011,1054,180.0
420278,790,435600.0
60364,790,21480.0
458189,790,91800.0
344803,400,720.0
101331,1066,424566.0
67177,400,552.0
195305,104,4800.0
215447,790,36000.0
313916,790,53640.0
387278,790,458400.0
352684,790,224520.0
171469,607,1146011.0
48820,790,42000.0
372928,790,7080.0
106036,888,37111.0
249914,790,48000.0
138786,586,24000.0
157227,790,4080.0
349404,400,639502.0
130883,654,72.0
405061,888,12.0
154810,810,
257605,790,13680.0
231314,188,1200.0
342092,790,14280.0
270217,790,15840.0
389308,790,98160.0
91525,663,157.2
326270,869,96.0
308764,790,395880.0
345022,790,1221600.0
332438,758,48.0
443669,842,48.0
225291,400,639502.0
436217,790,55680.0
354733,790,63360.0
435559,790,32520.0
436321,884,
259441,810,424566.0
387360,620,664227.0
247308,400,2940.0
69239,575,36324.0
202314,818,288.0
172254,810,
412623,790,7560.0
249953,790,512280.0
155384,810,108.0
180801,796,384.0
231314,188,10317.0
75485,400,552.0
396080,790,390000.0
64428,468,24.0
354352,663,187.2
70322,976,33.6
343742,1056,3.396
404846,810,1175087.0
94244,790,35520.0
165564,790,48240.0
127575,400,424566.0
175100,790,45480.0
219222,638,12.0
337028,389,24.0
170319,790,79800.0
29683,790,15120.0
227370,965,2943.0
232677,738,1560.0
144406,790,131772.0
313296,726,545395.0
352125,790,48120.0
145685,790,780960.0
102892,790,10680.0
178298,619,3000.0
223914,400,424566.0
66277,810,396.0
457346,790,227880.0
3092,790,4920.0
387782,790,3720.0
191683,441,972.0
35147,790,16200.0
415628,917,6357636.0
319655,663,168.0
386323,790,474000.0
5943,888,1284577.0
67714,888,66036.0
244756,790,312600.0
6428,400,555.0
408891,810,424566.0
422286,810,
104181,790,22920.0
264519,790,100920.0
128696,663,169.2
408620,790,309120.0
266782,790,440400.0
71398,790,37560.0
111593,283,45447.0
183390,720,10317.0
410962,758,48.0
156512,120,628176.0
46179,790,9120.0
271464,790,64680.0
105580,102,240.0
139920,790,2280.0
335378,790,37560.0
108753,400,
286602,880,108.0
443037,790,24600.0
162024,790,14280.0
203741,888,666235.0
69395,441,1104.0
78798,804,24.0
340563,884,628176.0
53357,790,29880.0
213063,400,708.0
34104,607,134746.0
251267,790,32040.0
166628,758,24.0
121629,120,923584.0
362840,945,180.0
114883,790,33000.0
103776,790,110640.0
95454,19,30603.0
316008,314,39.6
